clean_names,median_age_male,total_population,male,employed,unemployed,white,black,asian,median_income,harrys_orders_last_month
"Salt Lake City, UT",31,1123643,0.5024869999,0.6595774451,0.0500752667,0.8388740908,0.0160041935,0.0339164664,61529,335.3656738406
"Birmingham-Hoover, AL",36.6,1135534,0.4815346788,0.5554914704,0.0570909386,0.667715806,0.2849047232,0.0132730504,48438,327.5587599158
"Buffalo-Cheektowaga-Niagara Falls, NY",39.1,1135667,0.4837086928,0.5794514312,0.0501729245,0.8086587001,0.120667414,0.0257399396,50726,391.1215122893
"Rochester, NY",37.9,1082578,0.4862254729,0.5862688299,0.0497794595,0.8142350944,0.114174683,0.0267075444,52717,391.9938025185
"Bridgeport-Stamford-Norwalk, CT",38.1,934215,0.4867851619,0.6188852281,0.0656934207,0.7433781303,0.11050133,0.0487682172,83163,221.082834541
"Fresno, CA",30.3,948844,0.4989513555,0.5233086819,0.0874887473,0.5859414192,0.0508787535,0.0970612661,45201,200.9115480136
"Tucson, AZ",36.4,993144,0.4916809647,0.5247385439,0.0633833401,0.7877961303,0.0356705573,0.0269809816,46233,330.4109729395
"Grand Rapids-Wyoming, MI",34.5,1007329,0.4932092693,0.6120487138,0.0584471252,0.8557859448,0.0653758603,0.0229547645,53187,284.2268061566
"Tulsa, OK",35.4,954055,0.490895179,0.599092655,0.0453807831,0.725346023,0.0805446227,0.0188857037,49255,200.9856408425
"Worcester, MA-CT",38.4,924722,0.4932747355,0.6152092708,0.0595059961,0.8624678552,0.0414027135,0.0393199253,64629,237.646524408
"Albuquerque, NM",35.6,899137,0.491625859,0.5650781276,0.0568035454,0.7175658437,0.0267078321,0.0201393114,48875,240.7600993354
"Oxnard-Thousand Oaks-Ventura, CA",35.5,835790,0.4956723579,0.6042432949,0.0625639154,0.7768434655,0.0179889685,0.0699685328,77335,232.8977972691
"New Haven-Milford, CT",38.1,863148,0.4819880252,0.5956059247,0.068951182,0.7521676468,0.1271566406,0.0371662797,61646,190.0234388391
"Albany-Schenectady-Troy, NY",38.4,875567,0.4883406981,0.6078270251,0.048607268,0.845364204,0.0767285656,0.0357791009,61841,321.5905441406
"Omaha-Council Bluffs, NE-IA",33.9,886157,0.494133658,0.6698791742,0.0416762905,0.845390828,0.0773429539,0.0221168484,57357,284.8586401503
"Bakersfield, CA",30.4,857730,0.5138120388,0.5090891513,0.0777229417,0.7373555781,0.0564420039,0.0441700768,48574,167.1398301309
"Allentown-Bethlehem-Easton, PA-NJ",39.6,826260,0.4880025658,0.5874354228,0.0594193042,0.847715005,0.0529300704,0.0268014911,58681,154.3698287358
"El Paso, TX",29.6,827206,0.4878555039,0.5234046572,0.0517198149,0.8172885593,0.0338706441,0.0106817407,40699,254.6816103317
"Greenville-Anderson-Mauldin, SC",36.8,842817,0.4866347024,0.5547789514,0.0571632406,0.7858028493,0.1670777879,0.0157139688,45428,190.6915332274
"Baton Rouge, LA",33.4,814805,0.4903111787,0.5933768849,0.0499493392,0.6012555151,0.3558814686,0.0192990961,51829,184.4048580295
"Knoxville, TN",38.8,847765,0.4881859949,0.5447752293,0.0483521854,0.9008569592,0.0592959134,0.0137950965,44906,313.370066616
"Columbia, SC",34.3,784698,0.4867375729,0.5725482553,0.0628572615,0.6074145722,0.3315135249,0.0182719976,49238,188.9126812639
"Dayton, OH",37.5,801259,0.4840544693,0.5567580635,0.0606478882,0.7898032971,0.1563264812,0.0205663837,47162,266.8884908481
"McAllen-Edinburg-Mission, TX",27.3,806447,0.4873389076,0.5204522804,0.0604110246,0.9118627759,0.0058825936,0.0103342191,34952,193.4812459158
"Stockton-Lodi, CA",32.1,701050,0.4972769417,0.5250011907,0.0925711782,0.578358177,0.0718593538,0.1461650382,53253,198.390271377
"Greensboro-High Point, NC",37.1,735777,0.4799891815,0.5673489237,0.0658106459,0.6560234962,0.2596534004,0.0317718548,43670,207.2405120044
"North Port-Sarasota-Bradenton, FL",48.7,722784,0.4803039359,0.4725994704,0.0513813058,0.8780396356,0.0661013525,0.0159508235,49875,268.4073293442
"Little Rock-North Little Rock-Conway, AR",34.8,716849,0.4852053919,0.5924881576,0.0477184813,0.7273805223,0.2263252094,0.0153337732,49179,249.6577316894
"Charleston-North Charleston, SC",34.5,697281,0.488934877,0.5838678837,0.0621455372,0.6721450893,0.2706283407,0.0165571699,52517,256.3444032655
"Akron, OH",38.7,703017,0.4849015031,0.5909622756,0.0632535457,0.8286584819,0.11905402,0.022180118,50776,251.7916271655
"Colorado Springs, CO",32.5,669070,0.5020790052,0.5719253146,0.0588167076,0.8119927661,0.0578668899,0.0258986354,57735,179.5413711084
"Syracuse, NY",37.5,662236,0.4866467543,0.5716443475,0.0496549992,0.8501032864,0.0819496373,0.0265056566,53191,138.3897848344
"Springfield, MA",36.3,626775,0.4780997966,0.5705645359,0.0630228317,0.8096956643,0.0713988273,0.0284153005,52546,155.4114040988
"Cape Coral-Fort Myers, FL",45.1,647554,0.4904394074,0.4716732861,0.0639369886,0.8425629368,0.0860051826,0.0155940663,47908,123.8693654454
"Winston-Salem, NC",38.4,648045,0.4813801511,0.5576614111,0.063405184,0.7646768357,0.1769105541,0.0151594411,44589,147.5893176062
"Ogden-Clearfield, UT",30,614521,0.5026223677,0.6340618745,0.0397369474,0.8943583702,0.011254294,0.014925446,63393,124.8850734534
"Wichita, KS",34.3,636095,0.4949355049,0.6143980567,0.0510499012,0.822928965,0.0755468916,0.033873871,51059,138.8317161025
"Boise City, ID",34.2,639616,0.4994668676,0.5933821722,0.0550976193,0.9153382655,0.0082002326,0.0202027466,50776,245.3957695464
"Madison, WI",34.8,620368,0.4966955098,0.684932082,0.0397071349,0.87120709,0.0433678075,0.0432227323,61227,165.8228560662
"Lakeland-Winter Haven, FL",39.1,617323,0.4900368203,0.491924697,0.0667176993,0.7878873782,0.1505386969,0.0169263092,43063,142.5764316703
"Toledo, OH",35.6,608847,0.4864998924,0.5711411794,0.0723153853,0.7884394602,0.1417613949,0.0156525367,44775,196.7793777648
"Des Moines-West Des Moines, IA",34.5,590741,0.4918449879,0.6864795244,0.0406032585,0.8758711517,0.0484628627,0.0334156593,61640,160.3140713922
"Augusta-Richmond County, GA-SC",35.1,575669,0.4871862129,0.5185189283,0.0608393713,0.5876328237,0.3556522932,0.0180103497,46144,182.4795550641
"Jackson, MS",34,574998,0.479700799,0.563550938,0.056392151,0.4839234223,0.4857599505,0.0108069941,45366,139.0434792896
"Deltona-Daytona Beach-Ormond Beach, FL",44.8,597824,0.4859875147,0.4597874025,0.0536620103,0.8219777058,0.1056364415,0.01795679,42571,195.7496145075
"Provo-Orem, UT",24.4,550774,0.502621765,0.6292344945,0.0453197798,0.9168860549,0.0060242495,0.0137061662,60647,141.0900490083
"Harrisburg-Carlisle, PA",38.8,555154,0.4890372761,0.6099854041,0.0445788905,0.8208875375,0.1018744348,0.0302528668,57461,202.0981244788
"Modesto, CA",32.1,522794,0.4946843307,0.5211249365,0.1017521585,0.7586697629,0.0276514268,0.0527569176,49573,173.3371600554
"Durham-Chapel Hill, NC",34.7,525050,0.4812779735,0.5975940219,0.0551740105,0.6183296829,0.2685648986,0.043972955,52925,101.1302584278
"Santa Rosa, CA",38.9,491790,0.4907155493,0.5881160719,0.0622896592,0.787010716,0.0152300779,0.0402834543,63799,169.4732371991
"Palm Bay-Melbourne-Titusville, FL",44.9,548891,0.4889203867,0.4948064995,0.0678889665,0.8320103627,0.1020712673,0.0222266352,48483,167.9024121322
"Scranton--Wilkes-Barre--Hazleton, PA",40.9,562644,0.4887246643,0.5518510617,0.0490786176,0.9206763069,0.0328644756,0.0133512487,45812,147.20796451
"Youngstown-Warren-Boardman, OH-PA",41.5,559144,0.4869496945,0.5233893017,0.0544662262,0.8583996251,0.1081778576,0.0066744881,42543,132.0434372066
"Lancaster, PA",37,526839,0.4889767083,0.6206940827,0.0446296408,0.8887288147,0.0394864465,0.0203003195,57120,183.7854811
"Spokane-Spokane Valley, WA",36.7,533456,0.4963314688,0.5442214406,0.054874126,0.8925572118,0.0178758885,0.0212444888,49417,155.5859731044
"Chattanooga, TN-GA",38.3,537397,0.4849208313,0.5625782459,0.0566188529,0.8138955,0.1383390678,0.0146725791,46228,114.1224304753
"Vallejo-Fairfield, CA",35.8,421624,0.4978393071,0.5505731019,0.0756231061,0.5376093391,0.1411447166,0.1499748591,67341,82.5180630131
"Portland-South Portland, ME",41.5,518387,0.4855214348,0.635983647,0.0420737295,0.9422960067,0.0174753611,0.01655327,58000,129.4667287606
"Santa Maria-Santa Barbara, CA",32.3,431555,0.501372942,0.5766049454,0.0564313908,0.7403227862,0.019629016,0.0503713316,63409,149.2634521562
"Fayetteville-Springdale-Rogers, AR-MO",32.7,483396,0.4977554634,0.6049534597,0.0398932351,0.8409647577,0.0223109004,0.0271371712,48627,145.6094951351
"Lexington-Fayette, KY",34.5,483997,0.4908646128,0.6198020161,0.0549527033,0.8151372839,0.1085936483,0.024663376,49997,134.4968976491
"Lansing-East Lansing, MI",33.5,467122,0.4875171797,0.5750760344,0.0595101062,0.8161272644,0.0841150706,0.0394158271,50155,168.298000151
"Anchorage, AK",32.5,392021,0.5121562365,0.6347963215,0.0526111351,0.7011512138,0.047068907,0.0677871849,76453,86.8070436486
"Lafayette, LA",33.9,475457,0.48791794,0.5944582333,0.0497185716,0.7097571389,0.2468256856,0.0147374,47174,162.6174842314
"Salinas, CA",32.6,424927,0.5131704975,0.5418522202,0.0577784229,0.7526916388,0.0278306627,0.062356593,58582,99.5975275991
"Pensacola-Ferry Pass-Brent, FL",36,462339,0.5010371178,0.5163084689,0.0604028284,0.7524089467,0.1628328997,0.0257559929,49255,147.55016981
"Visalia-Porterville, CA",29.4,451108,0.5007248818,0.5297682367,0.0827655292,0.8109432774,0.0174769678,0.0332115591,42863,171.9461502056
"Killeen-Temple, TX",29.1,417887,0.4971870386,0.4971442619,0.0520673373,0.6745579547,0.1948588973,0.0257964474,50671,153.7237929047
"Trenton, NJ",36.7,369526,0.4895866597,0.594513895,0.0686720361,0.6237071275,0.201918133,0.0957929889,74118,100.5177369383
"Shreveport-Bossier City, LA",34.8,445305,0.481622708,0.5549405818,0.0456617983,0.5679702676,0.3861263628,0.0111316963,43779,90.9695912731
"Huntsville, AL",36.5,430396,0.4925858976,0.5808118835,0.0599865756,0.7150717014,0.2171023894,0.0220819896,55881,86.6975160776
"Reno, NV",36.8,433919,0.5029901894,0.5890770986,0.0701381969,0.8160440082,0.0235596966,0.051850691,53047,84.3702952806
"York-Hanover, PA",39.4,438052,0.4940189749,0.6170314327,0.0556795738,0.8868627469,0.0547994302,0.0136764585,58906,114.0287608827
"Corpus Christi, TX",34.5,437528,0.4931295826,0.5811500571,0.0447526177,0.8706848476,0.0365530892,0.015777276,49359,126.7540758534
"Manchester-Nashua, NH",38.8,402776,0.4953174966,0.6609840631,0.04767136,0.9081126979,0.0217391304,0.03499712,70906,108.3005252019
"Port St. Lucie, FL",44.6,433646,0.4903723313,0.4776747987,0.0692030871,0.7764628291,0.144758628,0.0137300932,45752,112.2479399956
"Reading, PA",38.5,413016,0.4912231003,0.5961544889,0.0615780086,0.8384808337,0.0486276561,0.0136774362,55798,102.2956702815
"Mobile, AL",35.6,414045,0.4789044669,0.5225822545,0.0651106786,0.6024441788,0.349326764,0.0192080571,43844,139.9871530694
"Fort Wayne, IN",35.2,422029,0.4890185272,0.6071626128,0.0565363709,0.8204791614,0.1010641449,0.0262375334,49607,83.7619602124
"Springfield, MO",35.2,444728,0.4894497311,0.5777062631,0.0499506963,0.9295299599,0.0219325071,0.0116902916,42880,133.502012198
"Fayetteville, NC",29.5,374036,0.4869130244,0.4732163603,0.0713139051,0.5142312505,0.3581874472,0.0220165973,44692,88.8349417326
"Flint, MI",37.6,418654,0.482056782,0.4789209772,0.0879419379,0.7474477731,0.2041279911,0.0095974241,41879,98.3472672288
"Salem, OR",34.7,396912,0.4945831822,0.5376624391,0.0772775646,0.8201087395,0.0089944371,0.0191881324,48433,126.5822077052
"Asheville, NC",41.5,433204,0.4830472479,0.5434974093,0.0477826961,0.905956547,0.0471786964,0.0096028661,44820,149.7446012634
"Brownsville-Harlingen, TX",29,415103,0.4824802519,0.4899517522,0.0571979782,0.919458544,0.0053866149,0.0068657658,33390,137.7307030002
"Beaumont-Port Arthur, TX",35.8,404741,0.5052193872,0.5227609597,0.0546884813,0.6882154267,0.2415124734,0.0258510998,44845,104.0630835705
"Ann Arbor, MI",32.3,351454,0.4933504811,0.5996686359,0.0550417145,0.7417841311,0.1208949109,0.0822582756,60805,116.0318340812
"Montgomery, AL",34.6,375225,0.4798321007,0.5462925239,0.054006247,0.5237977214,0.4326390832,0.0168778733,46977,112.5546598145
"Salisbury, MD-DE",41.7,381868,0.4878937224,0.5311243668,0.0546896171,0.7618496444,0.1795070548,0.0158876889,53004,137.1190105196
"Peoria, IL",37.5,380241,0.4892081601,0.5867420356,0.05135371,0.8566172506,0.0912526529,0.0207447382,54686,116.8911811193
"Tallahassee, FL",31.7,373097,0.487414801,0.5582720337,0.0705904925,0.6118408886,0.3292441376,0.0247495959,45377,111.2037320436
"Savannah, GA",33.1,361161,0.4856532128,0.5638285523,0.0563835588,0.6041599176,0.336678102,0.0226021082,50560,123.0689797301
"Canton-Massillon, OH",40.4,403629,0.4856836352,0.5657650891,0.059312642,0.8940809506,0.0664471582,0.0070039566,46233,146.0292855228
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",42.8,396187,0.4870275905,0.5169071091,0.0629901356,0.8130049699,0.1293656783,0.0099220822,43681,113.178709356
"Davenport-Moline-Rock Island, IA-IL",38.1,381913,0.4919968684,0.6001195299,0.0434666323,0.8602325661,0.073692176,0.0173337907,51263,87.3783719692
"Gulfport-Biloxi-Pascagoula, MS",35.7,378972,0.4944402225,0.5403752025,0.0605282749,0.730486685,0.2080655035,0.0242339803,44826,105.6461007341
"Eugene, OR",37.6,354764,0.4912026023,0.5308803535,0.0662270564,0.8865640257,0.0094034344,0.0245712643,43685,123.2346539441
"Rockford, IL",37.7,346031,0.4901034878,0.5736656464,0.0801629982,0.8096239932,0.1081406001,0.023049958,49511,88.6724753036
"Naples-Immokalee-Marco Island, FL",46,334474,0.492208662,0.4870086346,0.0492413788,0.8714608609,0.0674671275,0.0125779582,56250,80.8035064449
"Huntington-Ashland, WV-KY-OH",39.8,364514,0.4885436499,0.488049329,0.0440480672,0.9507289158,0.022237829,0.0055882627,42448,129.9473016416
"Boulder, CO",34.4,305166,0.5023495409,0.6518720993,0.0486000337,0.8768080323,0.0092441491,0.0417674315,69407,58.101354759
"Hickory-Lenoir-Morganton, NC",40.1,363936,0.4946089422,0.5337435463,0.067531483,0.8506248351,0.0695122219,0.0253176383,40820,129.8219451501
"Ponce, PR",35.3,337919,0.4829944454,0.3290923243,0.1006615974,0.7607355609,0.0508435453,0.0012784129,16593,129.1978410435
"Kalamazoo-Portage, MI",33.9,330439,0.4908046568,0.576263988,0.0649996777,0.8338361997,0.0955910168,0.0196133023,46392,71.7388723299
"Santa Cruz-Watsonville, CA",35.8,267203,0.49706403,0.5914267434,0.0565579015,0.807745422,0.009202741,0.0437345389,66923,100.9887757552
"Columbus, GA-AL",32,308363,0.4955555628,0.4988451028,0.063562889,0.5250467793,0.3992534772,0.0183712054,42278,110.274820002
"Ocala, FL",46.3,334771,0.4800535291,0.4180343142,0.0619669758,0.8164118158,0.1262235976,0.0140543834,39339,86.0386667482
"Fort Collins, CO",34.5,311435,0.4975805545,0.6286253214,0.05106264,0.908009697,0.0094658596,0.0186555782,58844,83.5033783683
"Aguadilla-Isabela, PR",37.7,331146,0.4891649001,0.2997218071,0.101237375,0.7520368659,0.0297119699,0.0033006589,15681,104.1528514881
"Merced, CA",29.4,261609,0.5041837246,0.4979478013,0.1057865189,0.6452148053,0.0348420735,0.0758460145,43066,77.4737294197
"Kennewick-Richland, WA",32.3,266561,0.5078499856,0.5959935002,0.0468897578,0.7586781262,0.0167616418,0.02478232,59476,67.9422680932
"Hilo, HI",40.2,189382,0.5009134976,0.5359042729,0.0548068165,0.3321487787,0.0072446167,0.2210241734,51213,38.1228379569
"Norwich-New London, CT",38.7,274071,0.4999762835,0.596331588,0.0549993516,0.8207727195,0.0565546884,0.0426531811,66693,73.3036089689
"Atlantic City-Hammonton, NJ",39,275325,0.48448924,0.5779569771,0.0849727654,0.6714501044,0.1585253791,0.0811332062,54392,89.1519122691
"Spartanburg, SC",37.2,317057,0.4846667949,0.5434660819,0.0641786983,0.7248286586,0.2156142271,0.0198355501,42588,60.244618602
"South Bend-Mishawaka, IN-MI",36.6,318917,0.4866846233,0.5735907311,0.065752618,0.8125499738,0.1164221412,0.0175155291,45036,78.4991818688
"Olympia-Tumwater, WA",37,259330,0.4896811013,0.5648367945,0.0563503031,0.8282690009,0.0286854587,0.0574441831,62286,85.6475049788
"Roanoke, VA",40.8,310934,0.4832118713,0.5819188031,0.0412313632,0.8221744808,0.1300147298,0.0170229052,50056,91.188951385
"Lubbock, TX",29.5,298578,0.4941053929,0.6198811861,0.042965033,0.7931763224,0.0713917301,0.0197301878,45337,57.3631257679
"Green Bay, WI",37.1,310726,0.4982621345,0.6412984782,0.0473735886,0.8912675476,0.0193160534,0.0242110412,53053,116.4647560555
"Kahului-Wailuku-Lahaina, HI",38.6,158887,0.501696174,0.6266778192,0.0596242316,0.3447796233,0.0059098605,0.2680332563,64563,32.3840444108
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",37.2,274184,0.5104090684,0.5332019068,0.0465241038,0.8460048726,0.0211208531,0.0372195314,59454,101.1893063493
"Lincoln, NE",32.2,310665,0.5014340206,0.6745495816,0.0421730533,0.8834628941,0.0373907585,0.0372813159,52291,79.3809417854
"Evansville, IN-KY",37.6,313450,0.4862147073,0.5946316001,0.044918691,0.8902281066,0.0669165736,0.0099665018,47425,85.8214362146
"Bremerton-Silverdale, WA",37,253614,0.508587854,0.5219416834,0.0516738314,0.8214373024,0.0267217109,0.0491889249,62473,48.0444690618
"Clarksville, TN-KY",28.9,270751,0.5028162408,0.494830162,0.0594629659,0.7297738513,0.1864813057,0.0183046415,46653,89.7039897052
"Utica-Rome, NY",39.7,298273,0.4969641905,0.549925959,0.0496364133,0.8846593557,0.0490389677,0.027521767,48094,88.9755556366
"Greeley, CO",33.2,265066,0.5019542303,0.6283224314,0.0510351444,0.8673500185,0.0108350373,0.013189168,58100,100.0768277744
"Gainesville, FL",30.1,268707,0.4861131269,0.5351889638,0.0520759404,0.7118869252,0.1932402208,0.0520641442,41961,84.3672070821
"Fort Smith, AR-OK",36.9,280394,0.4933272467,0.5237923015,0.0472641371,0.8070500795,0.0379644358,0.0250540311,38833,68.587412452
"Kingsport-Bristol-Bristol, TN-VA",42.8,308800,0.4861010363,0.5075165435,0.0510580738,0.9533452073,0.018484456,0.0051198187,39178,64.5988355717
"Yakima, WA",31.6,246402,0.5006939879,0.5571153547,0.0620061873,0.7623923507,0.00790578,0.0105153367,43956,93.4897335636
"Erie, PA",37.4,280132,0.4924642668,0.5662335935,0.0529177013,0.8788535405,0.0710093813,0.0135650336,45703,77.4702337302
"Wilmington, NC",37.3,263804,0.4865998999,0.5744898573,0.0649213545,0.7992486846,0.1502175858,0.0118914042,48581,89.3154673241
"Charlottesville, VA",36.3,223063,0.4834105163,0.5612892661,0.0326519473,0.7859528474,0.1399156292,0.0356849859,59189,43.2232526618
"Cedar Rapids, IA",36.8,261429,0.4958325205,0.6614196931,0.0355845795,0.9122132587,0.0382666039,0.0164136343,59000,57.2631345829
"Waco, TX",32.1,257241,0.4853619757,0.563351933,0.0424023515,0.7692397402,0.1521025031,0.0133415746,41876,70.1472924455
"Crestview-Fort Walton Beach-Destin, FL",36.8,246805,0.505216669,0.5465174142,0.0481836871,0.8122850023,0.0835274812,0.0259800247,53083,86.5748540809
"Hagerstown-Martinsburg, MD-WV",38.6,256237,0.5024645153,0.5754722562,0.0639074023,0.8575147227,0.0903577547,0.0128240652,55868,48.7639669473
