StoreID,Campaign,Sales
111,Version Zero,3310.34
112,Version Zero,3789.49
113,Version Zero,3683.54
114,Version Zero,4193.62
115,Version Zero,3700.88
116,Version Zero,4003.89
117,Version Zero,4452.32
118,Version Zero,3083.7
119,Version Zero,3120.97
120,Version Zero,3955.62
121,Version Zero,3142.87
122,Version Zero,3363.35
123,Version Zero,3671.19
124,Version Zero,4477.8
125,Version Zero,4585.69
126,Version Zero,5159.96
127,Version Zero,4867.68
128,Version Zero,4008.38
129,Version Zero,4382.27
130,Version Zero,3642.05
131,Version Zero,3512.4
132,Version Zero,3458.29
133,Version Zero,4398.63
134,Version Zero,4614.27
135,Version Zero,3764.37
136,Version Zero,4408.18
137,Version Zero,4285.02
138,Version Zero,4002.53
139,Version Zero,3060.39
140,Version Zero,3092.93
141,Version Zero,3257.82
142,Version Zero,4049.5
143,Version Zero,3304
144,Version Zero,2762.76
145,Version Zero,3709.84
146,Version Zero,3443.67
147,Version Zero,3699.23
148,Version Zero,3456.59
149,Version Zero,3138.84
150,Version Zero,3640.93
151,Version Zero,2882.71
152,Version Zero,3117.71
153,Version Zero,3273.44
154,Version Zero,4761.85
155,Version Zero,4418.23
156,Version Zero,3435.6
157,Version Zero,3327.53
158,Version Zero,3542.82
159,Version Zero,4090.1
160,Version Zero,4490.47
161,Version Zero,3061.21
162,Version Zero,3986.98
163,Version Zero,3852.39
164,Version Zero,4289.29
165,Version Zero,3257.5
166,Version Zero,2786.54
167,Version Zero,5987.55
168,Version Zero,5357.9
169,Version Zero,6774.16
170,Version Zero,4769.22
171,Version Zero,4904.2
172,Version Zero,5139.42
173,Version Zero,5483.26
174,Version Zero,5052.69
175,Version Zero,5630.15
176,Version Zero,5433.58
177,Version Zero,5706.18
178,Version Zero,4955.46
179,Version Zero,5226.9
180,Version Zero,4725.97
181,Version Zero,4574.98
182,Version Zero,4919.7
183,Version Zero,6199.84
184,Version Zero,4622.82
185,Version Zero,5249.92
186,Version Zero,4618.63
187,Version Zero,4980.99
188,Version Zero,3731.87
189,Version Zero,4297.24
190,Version Zero,3122.6
191,Version Zero,4553.49
192,Version Zero,3882.46
193,Version Zero,3426.87
194,Version Zero,3591.39
195,Version Zero,4049.37
196,Version Zero,3654.88
197,Version Zero,3498.79
198,Version Zero,3012.63
199,Version Zero,4529.37
200,Version Zero,4983.58
1,Version A,4265.88
2,Version C,5522.35
3,Version C,4593.16
4,Version C,6212.47
5,Version C,3760.3
6,Version C,3849.9
7,Version B,4540.25
8,Version A,4674.52
9,Version B,3127.7
10,Version A,4477.81
12,Version A,3503.61
13,Version A,4453.62
14,Version B,4060.03
15,Version A,4044.66
16,Version A,3511.07
17,Version A,4933.91
18,Version A,3406.85
19,Version B,3687.13
20,Version A,4705.52
21,Version C,5258.14
22,Version A,3879.99
23,Version A,4531.86
24,Version A,5162.68
25,Version A,3783.13
26,Version A,3892.01
27,Version A,3905.01
28,Version C,4487.4
29,Version A,4528.45
30,Version B,4972.99
31,Version B,5800.13
32,Version B,4961.25
33,Version C,3823.11
34,Version C,3656.99
35,Version C,5166.05
36,Version B,5057
37,Version B,5278.09
38,Version C,4834.91
39,Version C,5578.98
40,Version C,5854.08
41,Version C,5255.96
42,Version B,5083.53
43,Version C,5013.86
44,Version B,5309.01
45,Version B,3981.45
46,Version C,4678.58
47,Version C,4173.22
48,Version A,4753.71
49,Version C,4450.81
50,Version B,4270.47
51,Version C,4541.68
52,Version C,4714.66
53,Version B,4685.29
54,Version B,3830.03
55,Version B,5090.41
56,Version A,5246.13
57,Version B,5093.11
58,Version C,6237.9
59,Version B,3943.3
60,Version A,6198.08
61,Version B,4326.06
62,Version C,4881.5
63,Version C,4176.48
64,Version B,5245.32
65,Version A,4942.42
66,Version B,5171.49
67,Version B,5235.03
68,Version B,4141.38
69,Version B,5841.31
70,Version B,5713.58
71,Version C,3713.03
72,Version B,3760.3
73,Version A,6383.12
74,Version B,5595
75,Version B,4389.4
76,Version C,3466.56
77,Version A,6042.42
78,Version C,3920.98
79,Version B,4282.09
80,Version C,4527.55
81,Version B,4296.54
82,Version B,5634.11
83,Version B,5187.3
84,Version B,5389.31
85,Version B,5311.88
86,Version C,4555.92
87,Version A,6381.81
88,Version A,5605.67
89,Version C,4080.91
90,Version B,4656.01
91,Version A,4394.86
92,Version C,4091.23
93,Version B,6255.46
94,Version C,4610.66
95,Version B,4283.01
96,Version B,3910.42
97,Version B,5039.82
98,Version C,4478.25
99,Version A,4005.84
100,Version Zero,4141.4
101,Version Zero,3692.46
102,Version Zero,4338.01
103,Version Zero,2926.07
104,Version Zero,5001.65
105,Version Zero,4592.8
106,Version Zero,4494
107,Version Zero,3020.46
108,Version Zero,3613.36
109,Version Zero,4918.68
110,Version Zero,4284.04
111,Version Zero,2851
112,Version Zero,3251.39
113,Version Zero,3611.15
114,Version Zero,3538.96
115,Version Zero,3689.81
116,Version Zero,4531.01
117,Version Zero,4720.06
118,Version Zero,3001.69
119,Version Zero,3405.5
120,Version Zero,4037.73
121,Version Zero,4117.32
122,Version Zero,5041.52
123,Version Zero,5112
124,Version Zero,3899.31
125,Version Zero,5232.16
126,Version Zero,5556.29
127,Version Zero,3970.76
128,Version Zero,2897.94
129,Version Zero,3170.33
130,Version Zero,3245.8
131,Version Zero,4037.42
132,Version Zero,3912.07
133,Version Zero,4630.41
134,Version Zero,3432.49
135,Version Zero,4275.63
136,Version Zero,4168.49
137,Version Zero,3826.21
138,Version Zero,4466.53
139,Version Zero,3480.83
140,Version Zero,3859.24
141,Version Zero,4480.42
142,Version Zero,2994.83
143,Version Zero,3578.69
144,Version Zero,4018.87
145,Version Zero,3041.23
146,Version Zero,2981.5
147,Version Zero,4350
148,Version Zero,4516.45
149,Version Zero,3117.75
150,Version Zero,2779.37
151,Version Zero,3078.36
152,Version Zero,4342.64
153,Version Zero,4406.03
154,Version Zero,4925.98
155,Version Zero,4201.49
156,Version Zero,3075.33
157,Version Zero,3782.04
158,Version Zero,4584.38
159,Version Zero,4773.81
160,Version Zero,4146.37
161,Version Zero,3421.3
162,Version Zero,3520.03
163,Version Zero,3323.84
164,Version Zero,3833.54
165,Version Zero,3312.34
166,Version Zero,3625.69
167,Version Zero,5539.36
168,Version Zero,5692.45
169,Version Zero,5657.14
170,Version Zero,4458.34
171,Version Zero,4756.95
172,Version Zero,4939.24
173,Version Zero,3904.31
174,Version Zero,4173.55
175,Version Zero,4854.89
176,Version Zero,5405.42
177,Version Zero,5766.91
178,Version Zero,3876.6
179,Version Zero,4512.58
180,Version Zero,4493.43
181,Version Zero,5046.68
182,Version Zero,4203.32
183,Version Zero,6205.59
184,Version Zero,4561.03
185,Version Zero,6288.64
186,Version Zero,3759.64
187,Version Zero,4530.86
188,Version Zero,3969.88
189,Version Zero,4328.51
190,Version Zero,3520.56
191,Version Zero,3608.31
192,Version Zero,4190.7
193,Version Zero,3778.95
194,Version Zero,3262.2
195,Version Zero,3104.36
196,Version Zero,3524.68
197,Version Zero,3333.81
198,Version Zero,3682.59
199,Version Zero,4340.4
200,Version Zero,4800
1,Version A,3605.19
2,Version C,4964.31
3,Version C,4963.84
4,Version C,6287.77
5,Version C,3721.46
6,Version C,4511.27
7,Version B,5751.47
8,Version A,4286.63
9,Version B,4148.83
10,Version A,3831.3
12,Version A,4556.43
13,Version A,4273.98
14,Version B,3806.92
15,Version A,4127.7
16,Version A,3492.76
17,Version A,4052.39
18,Version A,3337.81
19,Version B,3640.42
20,Version A,3968.5
21,Version C,5009
22,Version A,4231.19
23,Version A,4203.93
24,Version A,4497.09
25,Version A,4870.76
26,Version A,2811.34
27,Version A,3730.31
28,Version C,3944.48
29,Version A,5271.67
30,Version B,3548.09
31,Version B,5350.6
32,Version B,4188.46
33,Version C,4664.65
34,Version C,3602.98
35,Version C,5119.6
36,Version B,4958.33
37,Version B,4600.33
38,Version C,3926.37
39,Version C,5790.68
40,Version C,5155.91
41,Version C,4886.04
42,Version B,6200.18
43,Version C,4914.4
44,Version B,5503.88
45,Version B,4338.94
46,Version C,4748.89
47,Version C,3949.64
48,Version A,4851.77
49,Version C,4268.52
50,Version B,5337.53
51,Version C,4195.84
52,Version C,3666.29
53,Version B,4320.21
54,Version B,4364.19
55,Version B,4838.03
56,Version A,5010.12
57,Version B,5846.15
58,Version C,5354.54
59,Version B,3880.48
60,Version A,5384.02
61,Version B,4681.45
62,Version C,4705.45
63,Version C,4285.56
64,Version B,4674.78
65,Version A,4962.62
66,Version B,5594.03
67,Version B,5701.86
68,Version B,4456.4
69,Version B,5880.7
70,Version B,4586.92
71,Version C,4765.05
72,Version B,4748.54
73,Version A,4875.14
74,Version B,5439.94
75,Version B,4099.4
76,Version C,4001.96
77,Version A,5613.32
78,Version C,5264.43
79,Version B,4821.81
80,Version C,5428.53
81,Version B,4139.03
82,Version B,5777.13
83,Version B,4603.31
84,Version B,4731.84
85,Version B,4612.82
86,Version C,4059.42
87,Version A,5276.02
88,Version A,5124.39
89,Version C,4571.31
90,Version B,5975.83
91,Version A,3830.67
92,Version C,5014.28
93,Version B,6017.7
94,Version C,4252.4
95,Version B,4902.91
96,Version B,4767.75
97,Version B,3970.53
98,Version C,4373.94
99,Version A,3518.19
100,Version Zero,4733.99
101,Version Zero,4200.92
102,Version Zero,4623.09
103,Version Zero,3703.41
104,Version Zero,4133.57
105,Version Zero,4227.05
106,Version Zero,4672.3
107,Version Zero,2970.33
108,Version Zero,4362.36
109,Version Zero,4117.04
110,Version Zero,4976.63
111,Version Zero,3046.71
112,Version Zero,3084.29
113,Version Zero,3821.34
114,Version Zero,3990.98
115,Version Zero,5636.4
116,Version Zero,3937.16
117,Version Zero,4846.85
118,Version Zero,4256.06
119,Version Zero,3669.61
120,Version Zero,4503.9
121,Version Zero,3250.06
122,Version Zero,4387.63
123,Version Zero,4916.56
124,Version Zero,3882.94
125,Version Zero,5515.23
126,Version Zero,4133.35
127,Version Zero,4260.84
128,Version Zero,3603.99
129,Version Zero,3366.56
130,Version Zero,3907.26
131,Version Zero,4954.35
132,Version Zero,3934.74
133,Version Zero,4496.7
134,Version Zero,4160.08
135,Version Zero,4240.22
136,Version Zero,3820.85
137,Version Zero,4155.41
138,Version Zero,4330.25
139,Version Zero,3465.57
140,Version Zero,3766.97
141,Version Zero,3872.73
142,Version Zero,3997.26
143,Version Zero,4605.68
144,Version Zero,3249.64
145,Version Zero,3231.31
146,Version Zero,3343.75
147,Version Zero,3853.9
148,Version Zero,4666.28
149,Version Zero,3228.53
150,Version Zero,3983.16
151,Version Zero,4145.31
152,Version Zero,4427.32
153,Version Zero,3512.2
154,Version Zero,4703.36
155,Version Zero,4093.15
156,Version Zero,3890.72
157,Version Zero,3837.66
158,Version Zero,3709.36
159,Version Zero,4495.63
160,Version Zero,4807.72
161,Version Zero,4209.48
162,Version Zero,3555.32
163,Version Zero,3055.9
164,Version Zero,4170.91
165,Version Zero,4133.46
166,Version Zero,3025.08
167,Version Zero,5374.92
168,Version Zero,4562.81
169,Version Zero,5236.49
170,Version Zero,4426.93
171,Version Zero,4415.3
172,Version Zero,5351.86
173,Version Zero,4494.81
174,Version Zero,5157.12
175,Version Zero,5605.53
176,Version Zero,4981.41
177,Version Zero,6018.55
178,Version Zero,4324.93
179,Version Zero,3794.77
180,Version Zero,4378.9
181,Version Zero,5178.74
182,Version Zero,4177.18
183,Version Zero,6008.85
184,Version Zero,3613.05
185,Version Zero,5908.02
186,Version Zero,4877.05
187,Version Zero,4587.5
188,Version Zero,4325.15
189,Version Zero,4796.37
190,Version Zero,4122.69
191,Version Zero,4798.46
192,Version Zero,3708.43
193,Version Zero,3678.89
194,Version Zero,3441.86
195,Version Zero,3408.55
196,Version Zero,3733.14
197,Version Zero,4376.59
198,Version Zero,3422.43
199,Version Zero,3979.27
200,Version Zero,4651.31
1,Version A,4773
2,Version C,4865.56
3,Version C,4455.32
4,Version C,4673.41
5,Version C,4727.19
6,Version C,3917.74
7,Version B,5524.08
8,Version A,5215.58
9,Version B,4055.12
10,Version A,4348.7
12,Version A,3171.33
13,Version A,4625.48
14,Version B,4694.79
15,Version A,3911.34
16,Version A,3933.81
17,Version A,4129.61
18,Version A,2928.94
19,Version B,3195.56
20,Version A,4958.01
21,Version C,3995.85
22,Version A,4120.01
23,Version A,4667.99
24,Version A,5445.92
25,Version A,3913.98
26,Version A,3446.06
27,Version A,4870.83
28,Version C,4807.72
29,Version A,5375.87
30,Version B,3996.63
31,Version B,4473.51
32,Version B,5212.68
33,Version C,4449.43
34,Version C,4007.53
35,Version C,4142.13
36,Version B,4358.22
37,Version B,5528.46
38,Version C,4745.21
39,Version C,4275.96
40,Version C,4924.73
41,Version C,3892.13
42,Version B,4853.97
43,Version C,5689.11
44,Version B,4577.35
45,Version B,4242.49
46,Version C,4137.73
47,Version C,3876.92
48,Version A,3570.12
49,Version C,3797.5
50,Version B,5667.33
51,Version C,4966.86
52,Version C,3981.21
53,Version B,6032.33
54,Version B,3995.66
55,Version B,3889.11
56,Version A,5341.55
57,Version B,5094.53
58,Version C,4615.05
59,Version B,4062.49
60,Version A,6098.95
61,Version B,3691.68
62,Version C,4981.36
63,Version C,5298.72
64,Version B,5570.19
65,Version A,3889.07
66,Version B,6094.89
67,Version B,6271.59
68,Version B,3959.93
69,Version B,4812.02
70,Version B,5069.22
71,Version C,4611.95
72,Version B,4470.1
73,Version A,6066.94
74,Version B,5672.71
75,Version B,5227.55
76,Version C,3786.82
77,Version A,5854.7
78,Version C,5395.24
79,Version B,3818.86
80,Version C,3849.32
81,Version B,4997.13
82,Version B,4968.47
83,Version B,5005.34
84,Version B,5114.83
85,Version B,4361.83
86,Version C,4433.36
87,Version A,5060.39
88,Version A,5388.19
89,Version C,4678.97
90,Version B,5887.04
91,Version A,4353.07
92,Version C,4879.28
93,Version B,6461.67
94,Version C,5110.83
95,Version B,4227.54
96,Version B,4057
97,Version B,3876.56
98,Version C,4865.18
99,Version A,3640.61
100,Version Zero,4609.32
101,Version Zero,4014.36
102,Version Zero,3422.97
103,Version Zero,2740.16
104,Version Zero,3649.81
105,Version Zero,3415.64
106,Version Zero,4205.86
107,Version Zero,4044.67
108,Version Zero,3481.39
109,Version Zero,3637.91
110,Version Zero,4448.44
111,Version Zero,3946.95
112,Version Zero,3285.35
113,Version Zero,4101.42
114,Version Zero,3931.91
115,Version Zero,4987.79
116,Version Zero,3535.07
117,Version Zero,4160.44
118,Version Zero,4256.56
119,Version Zero,3418.99
120,Version Zero,3632.11
121,Version Zero,3234.62
122,Version Zero,4995.86
123,Version Zero,4850.37
124,Version Zero,4686.71
125,Version Zero,3818.53
126,Version Zero,5071.14
127,Version Zero,3604.44
128,Version Zero,3081.08
129,Version Zero,4335.84
130,Version Zero,3598.77
131,Version Zero,4521.05
132,Version Zero,2860.88
133,Version Zero,4379.04
134,Version Zero,3796.99
135,Version Zero,3870.38
136,Version Zero,3303.9
137,Version Zero,3745.79
138,Version Zero,5298.24
139,Version Zero,3493.83
140,Version Zero,3175.46
141,Version Zero,4003.03
142,Version Zero,3918.03
143,Version Zero,3212.41
144,Version Zero,4242.56
145,Version Zero,2962.62
146,Version Zero,2724.99
147,Version Zero,4596.81
148,Version Zero,4562.52
149,Version Zero,3940.23
150,Version Zero,2638.32
151,Version Zero,3109.97
152,Version Zero,4176.02
153,Version Zero,2868.54
154,Version Zero,4214.08
155,Version Zero,4162.98
156,Version Zero,3901.28
157,Version Zero,3811.17
158,Version Zero,3491.03
159,Version Zero,5153.62
160,Version Zero,5094.39
161,Version Zero,3201.86
162,Version Zero,3656.7
163,Version Zero,3356.86
164,Version Zero,3812.46
165,Version Zero,3206.14
166,Version Zero,3134.09
167,Version Zero,4782.65
168,Version Zero,4969.72
169,Version Zero,6231.69
170,Version Zero,4040.4
171,Version Zero,5264.37
172,Version Zero,5856.15
173,Version Zero,4412.87
174,Version Zero,4575.78
175,Version Zero,5119.12
176,Version Zero,5656.68
177,Version Zero,4656.01
178,Version Zero,3820.81
179,Version Zero,5047.29
180,Version Zero,4381.71
181,Version Zero,5462.24
182,Version Zero,4365.59
183,Version Zero,5315.63
184,Version Zero,4099.93
185,Version Zero,5439.87
186,Version Zero,3824.3
187,Version Zero,5178.21
188,Version Zero,3820.05
189,Version Zero,4703.56
190,Version Zero,3637.72
191,Version Zero,3090.68
192,Version Zero,3878.49
193,Version Zero,4077.31
194,Version Zero,3744.43
195,Version Zero,3707.8
196,Version Zero,4217.49
197,Version Zero,4431.8
198,Version Zero,3377.44
199,Version Zero,3893.44
200,Version Zero,3827.76
1,Version A,3681.51
2,Version C,4063.94
3,Version C,4118.09
4,Version C,4898.5
5,Version C,4387.45
6,Version C,4307.94
7,Version B,5001.77
8,Version A,4215.59
9,Version B,2401.06
10,Version A,3590.4
12,Version A,4180.65
13,Version A,4707.83
14,Version B,3261.21
15,Version A,2444.79
16,Version A,3068.13
17,Version A,3049.85
18,Version A,3938.85
19,Version B,2937.35
20,Version A,4726.96
21,Version C,3393.39
22,Version A,3433.09
23,Version A,3387.24
24,Version A,4383.32
25,Version A,3168.94
26,Version A,3505.06
27,Version A,3010.35
28,Version C,4467.36
29,Version A,4026.49
30,Version B,3552.52
31,Version B,4435.13
32,Version B,3890.68
33,Version C,3815.31
34,Version C,3022.99
35,Version C,4984.25
36,Version B,5127.58
37,Version B,4960.83
38,Version C,3432.33
39,Version C,4370.94
40,Version C,5490.11
41,Version C,3556.5
42,Version B,3985.37
43,Version C,4984.85
44,Version B,5503.89
45,Version B,4452.93
46,Version C,4350.47
47,Version C,3983.95
48,Version A,4269.07
49,Version C,4373.05
50,Version B,4682.16
51,Version C,4624.51
52,Version C,4236.43
53,Version B,3830.31
54,Version B,4180.64
55,Version B,3917.64
56,Version A,4008.68
57,Version B,5590.9
58,Version C,4047.54
59,Version B,4296.8
60,Version A,5111.21
61,Version B,3148.83
62,Version C,4582.52
63,Version C,4810.66
64,Version B,5195.91
65,Version A,3675.05
66,Version B,4145.53
67,Version B,5367.37
68,Version B,4593.86
69,Version B,4906.53
70,Version B,4724.78
71,Version C,4132.34
72,Version B,3124.76
73,Version A,5405.83
74,Version B,3904.56
75,Version B,3999.8
76,Version C,3975.4
77,Version A,4995.88
78,Version C,3663.79
79,Version B,4724.6
80,Version C,4788.2
81,Version B,3619.27
82,Version B,5074.26
83,Version B,5033.95
84,Version B,5752.62
85,Version B,4317.3
86,Version C,3479.96
87,Version A,5696.67
88,Version A,5076.41
89,Version C,4599.65
90,Version B,4578.72
91,Version A,4762.99
92,Version C,4130.69
93,Version B,5561.59
94,Version C,3441.12
95,Version B,5105.08
96,Version B,3361.14
97,Version B,3975.34
98,Version C,4094.02
99,Version A,4084.69
100,Version Zero,3043.79
101,Version Zero,4214.01
102,Version Zero,4078.42
103,Version Zero,3232.52
104,Version Zero,3249.88
105,Version Zero,4210.24
106,Version Zero,3271.89
107,Version Zero,3733.3
108,Version Zero,3705.34
109,Version Zero,4063.15
110,Version Zero,4012.09
111,Version Zero,3361.42
112,Version Zero,2290.59
113,Version Zero,3412.17
114,Version Zero,2983.08
115,Version Zero,4605.39
116,Version Zero,2953.07
117,Version Zero,3305.08
118,Version Zero,3836.64
119,Version Zero,2911.14
120,Version Zero,2840.83
121,Version Zero,2557.21
122,Version Zero,3942.65
123,Version Zero,3969.86
124,Version Zero,3733.86
125,Version Zero,4540.95
126,Version Zero,3233.73
127,Version Zero,2948.83
128,Version Zero,2838.75
129,Version Zero,4097.81
130,Version Zero,2906.88
131,Version Zero,4018.8
132,Version Zero,2482.9
133,Version Zero,3522.59
134,Version Zero,3116.64
135,Version Zero,3693.27
136,Version Zero,4372.96
137,Version Zero,4409.25
138,Version Zero,3061.98
139,Version Zero,3520.59
140,Version Zero,2784.18
141,Version Zero,3145.69
142,Version Zero,3664.46
143,Version Zero,2633.49
144,Version Zero,3568.5
145,Version Zero,3515.04
146,Version Zero,2911.19
147,Version Zero,4604.29
148,Version Zero,4361.53
149,Version Zero,3117.11
150,Version Zero,2526.23
151,Version Zero,3022.09
152,Version Zero,2506.69
153,Version Zero,3111.85
154,Version Zero,3551.32
155,Version Zero,3681.21
156,Version Zero,2615.03
157,Version Zero,3409.49
158,Version Zero,4124.06
159,Version Zero,3926.87
160,Version Zero,4054.7
161,Version Zero,2851.18
162,Version Zero,2415.52
163,Version Zero,3296.32
164,Version Zero,3115.5
165,Version Zero,3823.26
166,Version Zero,3146.76
167,Version Zero,5291.29
168,Version Zero,3624.39
169,Version Zero,4801.5
170,Version Zero,3645.06
171,Version Zero,5209.71
172,Version Zero,4037.59
173,Version Zero,4736.96
174,Version Zero,3930.33
175,Version Zero,4260.69
176,Version Zero,5893.46
177,Version Zero,5286.94
178,Version Zero,3979.1
179,Version Zero,3855.98
180,Version Zero,4686.58
181,Version Zero,3601.39
182,Version Zero,3897.94
183,Version Zero,5068.86
184,Version Zero,3814.23
185,Version Zero,4334.13
186,Version Zero,3674.38
187,Version Zero,4206.55
188,Version Zero,2684.89
189,Version Zero,3196.06
190,Version Zero,3016.02
191,Version Zero,2630.01
192,Version Zero,3323.19
193,Version Zero,3648.85
194,Version Zero,2492.99
195,Version Zero,2740
196,Version Zero,3007.99
197,Version Zero,2797.24
198,Version Zero,3515.07
199,Version Zero,3668.59
200,Version Zero,4117.53
1,Version A,4177.86
2,Version C,3444.46
3,Version C,3554.46
4,Version C,4320.98
5,Version C,2927.47
6,Version C,3499.81
7,Version B,4524.27
8,Version A,4197.27
9,Version B,2291.53
10,Version A,4395.47
12,Version A,3430.92
13,Version A,3358.85
14,Version B,4356.16
15,Version A,3259.62
16,Version A,3676.05
17,Version A,2859.41
18,Version A,2255.74
19,Version B,3307.78
20,Version A,4114.44
21,Version C,4050.07
22,Version A,3564.15
23,Version A,3171.46
24,Version A,3881.42
25,Version A,4168.51
26,Version A,2785.95
27,Version A,3102.69
28,Version C,3213.51
29,Version A,5113.8
30,Version B,3693.56
31,Version B,3931.91
32,Version B,4033.46
33,Version C,3738.09
34,Version C,2929.33
35,Version C,3673.2
36,Version B,3447.5
37,Version B,4685.99
38,Version C,3468.51
39,Version C,4305.61
40,Version C,3553.89
41,Version C,4146.44
42,Version B,4305.61
43,Version C,4428.28
44,Version B,4416.21
45,Version B,4288.83
46,Version C,2874.29
47,Version C,4316.43
48,Version A,2799.13
49,Version C,3630.93
50,Version B,4424.43
51,Version C,3322.47
52,Version C,3412.62
53,Version B,3780.58
54,Version B,3785.6
55,Version B,3130.12
56,Version A,3600.52
57,Version B,5327.69
58,Version C,4012.57
59,Version B,3275.65
60,Version A,4125.04
61,Version B,3141.83
62,Version C,4352.03
63,Version C,4864.32
64,Version B,4602.23
65,Version A,4244.49
66,Version B,4112.46
67,Version B,3836.09
68,Version B,4270.44
69,Version B,4358.99
70,Version B,3287.01
71,Version C,2888.64
72,Version B,2680.14
73,Version A,4504.06
74,Version B,3848.76
75,Version B,3535.25
76,Version C,2654.96
77,Version A,4020.21
78,Version C,3884.79
79,Version B,3744.33
80,Version C,4371.23
81,Version B,3482.54
82,Version B,3276.81
83,Version B,4804.63
84,Version B,4791.28
85,Version B,4235.22
86,Version C,3168.82
87,Version A,3704.58
88,Version A,3787.08
89,Version C,4248.28
90,Version B,4076.73
91,Version A,3334.56
92,Version C,3919.74
93,Version B,3677
94,Version C,4200.66
95,Version B,4199.2
96,Version B,3147.51
97,Version B,4336.76
98,Version C,4694.25
99,Version A,2859.74
100,Version Zero,3835.58
101,Version Zero,2577.25
102,Version Zero,3185.06
103,Version Zero,2906.04
104,Version Zero,3190.6
105,Version Zero,3330.17
106,Version Zero,3734.82
107,Version Zero,3574.3
108,Version Zero,3470
109,Version Zero,3147.94
110,Version Zero,2583.83
111,Version Zero,3372.95
112,Version Zero,3209.82
113,Version Zero,3616.87
114,Version Zero,2870.16
115,Version Zero,3900.82
116,Version Zero,3378.82
117,Version Zero,2952.08
118,Version Zero,2510.1
119,Version Zero,3399.98
120,Version Zero,3373.24
121,Version Zero,2740.5
122,Version Zero,3178.51
123,Version Zero,3497.73
124,Version Zero,3717.61
125,Version Zero,4075.96
126,Version Zero,4135.93
127,Version Zero,4173.41
128,Version Zero,2622.31
129,Version Zero,2400.21
130,Version Zero,3374.16
131,Version Zero,3092.27
132,Version Zero,2931.84
133,Version Zero,3503.46
134,Version Zero,3271.84
135,Version Zero,2735.06
136,Version Zero,3681.09
137,Version Zero,3359.12
138,Version Zero,4133.65
139,Version Zero,2234.79
140,Version Zero,2687.9
141,Version Zero,3012.57
142,Version Zero,2082.25
143,Version Zero,2720.61
144,Version Zero,2337.72
145,Version Zero,3011.38
146,Version Zero,2986
147,Version Zero,4219.76
148,Version Zero,4032.08
149,Version Zero,3165.11
150,Version Zero,3009.95
151,Version Zero,2769.93
152,Version Zero,2594.21
153,Version Zero,2220.25
154,Version Zero,4096.98
155,Version Zero,3120.11
156,Version Zero,2260.51
157,Version Zero,2580.38
158,Version Zero,2925.07
159,Version Zero,2737.38
160,Version Zero,3776.02
161,Version Zero,2792.26
162,Version Zero,3247.51
163,Version Zero,2692.33
164,Version Zero,3435.7
165,Version Zero,2511.23
166,Version Zero,2566.73
167,Version Zero,3449.79
168,Version Zero,4377.41
169,Version Zero,4896.02
170,Version Zero,2737.41
171,Version Zero,3897.77
172,Version Zero,4082.45
173,Version Zero,3388.96
